Pick,Team,Record,Odds,Chances,Pre-Lottery Position,Pick Change,Player Taken,Draft Team,Year
1,Chicago Bulls,33-49,1.70%,17,9th,+8,Derrick Rose,Chicago Bulls,2008
2,Miami Heat,15-67,25.00%,250,1st,-1,Michael Beasley,Miami Heat,2008
3,Minnesota Timberwolves,22-60,13.80%,138,3rd,0,O.J. Mayo,Minnesota Timberwolves,2008
4,Seattle SuperSonics,20-62,19.90%,199,2nd,-2,Russell Westbrook,Seattle SuperSonics,2008
5,Memphis Grizzlies,22-60,13.70%,137,4th,-1,Kevin Love,Memphis Grizzlies,2008
6,New York Knicks,23-59,7.60%,76,5th,-1,Danilo Gallinari,New York Knicks,2008
7,Los Angeles Clippers,23-59,7.50%,75,6th,-1,Eric Gordon,Los Angeles Clippers,2008
8,Milwaukee Bucks,26-56,4.30%,43,7th,-1,Joe Alexander,Milwaukee Bucks,2008
9,Charlotte Bobcats,32-50,2.80%,28,8th,-1,D.J. Augustin,Charlotte Bobcats,2008
10,New Jersey Nets,34-48,1.10%,11,10th,0,Brook Lopez,New Jersey Nets,2008
11,Indiana Pacers,36-46,0.80%,8,11th,0,Jerryd Bayless,Indiana Pacers,2008
12,Sacramento Kings,38-44,0.70%,7,12th,0,Jason Thompson,Sacramento Kings,2008
13,Portland Trail Blazers,41-41,0.60%,6,13th,0,Brandon Rush,Portland Trail Blazers,2008
14,Golden State Warriors,48-34,0.50%,5,14th,0,Anthony Randolph,Golden State Warriors,2008
