Pick,Team,Record,Odds,Chances,Pre-Lottery Position,Pick Change,Player Taken,Draft Team,Year
1,New York Knicks,24-58,14.29%,1,3rd,2,Patrick Ewing,New York Knicks,1985
2,Indiana Pacers,22-60,14.29%,1,1st,-1,Wayman Tisdale,Indiana Pacers,1985
3,Los Angeles Clippers,31-51,14.29%,1,5th,2,Benoit Benjamin,Los Angeles Clippers,1985
4,Seattle SuperSonics,31-51,14.29%,1,6th,2,Xavier McDaniel,Seattle SuperSonics,1985
5,Atlanta Hawks,34-48,14.29%,1,7th,2,Jon Koncak,Atlanta Hawks,1985
6,Sacramento Kings,31-51,14.29%,1,4th,-2,Joe Kleine,Kansas City Kings,1985
7,Golden State Warriors,22-60,14.29%,1,2nd,-5,Chris Mullin,Golden State Warriors,1985
1,Philadelphia Sixers,54-28,14.29%,1,6th,5,Brad Daugherty,Cleveland Cavaliers,1986
2,Boston Celtics,67-15,14.29%,1,5th,3,Len Bias,Boston Celtics,1986
3,Golden State Warriors,30-52,14.29%,1,4th,1,Chris Washburn,Golden State Warriors,1986
4,Indiana Pacers,26-56,14.29%,1,2nd,-2,Chuck Person,Indiana Pacers,1986
5,New York Knicks,23-59,14.29%,1,1st,-4,Kenny Walker,New York Knicks,1986
6,Phoenix Suns,32-50,14.29%,1,7th,1,William Bedford,Phoenix Suns,1986
7,Dallas Mavericks,44-38,14.29%,1,3rd,-4,Roy Tarpley,Dallas Mavericks,1986
1,San Antonio Spurs,28-54,14.29%,1,4th,3,David Robinson,San Antonio Spurs,1987
2,Phoenix Suns,36-46,14.29%,1,7th,5,Armen Gilliam,Phoenix Suns,1987
3,New Jersey Nets,24-58,14.29%,1,3rd,0,Dennis Hopson,New Jersey Nets,1987
4,Los Angeles Clippers,12-70,14.29%,1,1st,-3,Reggie Williams,Los Angeles Clippers,1987
5,New York Knicks,24-58,14.29%,1,2nd,-3,Scottie Pippen,Seattle SuperSonics,1987
6,Sacramento Kings,29-53,14.29%,1,5th,-1,Kenny Smith,Sacramento Kings,1987
7,Cleveland Cavaliers,31-51,14.29%,1,6th,-1,Kevin Johnson,Cleveland Cavaliers,1987
1,Los Angeles Clippers,17-65,14.29%,1,1st,0,Danny Manning,Los Angeles Clippers,1988
2,Indiana Pacers,38-44,14.29%,1,7th,5,Rik Smits,Indiana Pacers,1988
3,Philadelphia Sixers,36-46,14.29%,1,6th,3,Charles Daniel Smith,Philadelphia Sixers,1988
4,New Jersey Nets,19-63,14.29%,1,2nd,-2,Chris Morris,New Jersey Nets,1988
5,Golden State Warriors,20-62,14.29%,1,3rd,-2,Mitch Richmond,Golden State Warriors,1988
6,Los Angeles Clippers,17-65,14.29%,1,4th,-2,Hersey Hawkins,Los Angeles Clippers,1988
7,Phoenix Suns,28-54,14.29%,1,5th,-2,Tim Perry,Phoenix Suns,1988
1,Sacramento Kings,27-55,11.11%,1,6th,5,Pervis Ellison,Sacramento Kings,1989
